ازار	اِزَارْ
مندانہ	مندانہ
دہی	دَہِی
ریزوں	ریزوں
گزاروں	گُزَارُوںْ
سگالی	سِگَالِی
آرائیوں	آَرَائِیوْں
دادوں	دَادوْںْ
باش	بَاشْ
ویں	ویں
گزار	گُزَارْ
کنندگان	کُنِنْدْگَانْ
گوئیاں	گوئیاں
آویز	آَویزْ
دراز	دَرَازْ
گساروں	گساروں
بختیاں	بختیاں
افروز	اَفْروْز
اندازی	اَنْدَازِی
داشت	دَاشْتْ
پسندی	پَسَنْدِی
زادیوں	زادیوں
خوریوں	خوریوں
پسند	پَسَنْدْ
سرا	سِرَا
بختیوں	بختیوں
رنگی	رَنْگِی
نیس	نَیسْ
گوئیوں	گوئیوں
اندوزی	اَنْدوزِی
آمیز	آَمیزْ
سازی	سازی
آرا	آَرَا
دارانہ	دَارَانَہْ
لیواؤں	لیواؤں
خوانیاں	خوانیاں
آشام	آَشَامْ
ناکی	ناکی
پرور	پَرْوَرْ
نفسیاں	نفسیاں
دوز	دوز
نامہ	نَامَہْ
زدگی	زدگی
خوفی	خَوفِی
طراز	طَرَازْ
پسندوں	پَسَنْدوْںْ
ناکیاں	ناکیاں
فشاں	فِشَاںْ
نفسیوں	نفسیوں
یری	یری
نفس	نَفَسْ
ظرفی	ظَرْفِی
ظرفیاں	ظرفیاں
ناکیوں	ناکیوں
طرازیوں	طَرَازِیوںْ
پیما	پَیمَا
لوحیاں	لوحیاں
خیزیوں	خیزیوں
خواہ	خواہ
آرائی	آرائی
زادیاں	زادیاں
ظرفیوں	ظرفیوں
گرفتہ	گِرِفْتَہْ
آبادی	آَبَادِی
یز	یز
گری	گِرِی
تراشی	تَرَاشِی
گاہوں	گاہوں
یافتہ	یَافتَہ
سازیوں	سازیوں
خیزیاں	خیزیاں
عامہ	عامہ
لوح	لَوحْ
شماری	شُمَارِی
باختہ	بَاخْتَہْ
کاریوں	کَارِیوْں
سازیاں	سازیاں
بوسی	بوسِی
حال	حَالْ
رانی	رَانِی
خوانی	خوانی
اندیشانہ	اندیشانہ
گسار	گسار
بانی	بَانِی
شدہ	شُدَہ
بین	بَینْ
دانی	دَانِی
پزیر	پزیر
لیوا	لیوَا
گاہ	گاہ
خوار	خَواْرْ
دوار	دَوَارْ
یشہ	یشہ
فروشوں	فروشوں
گران	گران
کدہ	کَدَہْ
کدے	کَدے
افزا	اَفْزَا
پیماؤں	پیماؤں
برداریوں	برداریوں
گو	گو
نوشوں	نَوشوںْ
یلے	یلے
کشائی	کُشَائِی
کشوں	کَشوْںْ
نماں	نماں
تراشیاں	تراشیاں
فگار	فِگَارْ
مندیوں	مندیوں
نگار	نِگَارْ
کردہ	کَرْدَہْ
فشانیاں	فشانیاں
گرنی	گِرْنِی
باز	بَازْ
مندیاں	مَنْدِیَاںْ
درازیوں	درازیوں
گرافی	گَرَافِی
بخش	بَخْشْ
بختی	بَخْتِی
واڑہ	واڑہ
زادہ	زادہ
واس	وَاسْ
ستانی	سَتَانِی
داریاں	داریاں
جات	جَاتْ
یابی	یابی
لیس	لیْسْ
غرضیوں	غرضیوں
انگیزیاں	انگیزیاں
پرست	پَرَسْتْ
زدگان	زدگان
افزائی	اَفزَائِی
فگن	فِگَنْ
یات	یات
نفسی	نَفْسِی
گین	گَینْ
نگاری	نِگَارِی
خاطر	خَاطِرْ
داریوں	داریوں
اندیشوں	اَنْدیْشوْںْ
انگیز	اَنْگیزْ
خواں	خواں
گیروں	گِیروں
بدوشوں	بَدوْشوْں
ورزی	وَرْزِی
نفسوں	نَفَسوْںْ
ازم	ازم
قسمتی	قسمتی
پوشوں	پوشوْں
ناک	نَاکْ
وان	وَانْ
نما	نُمَا
اندیشیاں	اندیشیاں
کشیدہ	کَشِیدَہْ
آباد	آَبَادْ
جوئی	جُوئِی
ظرف	ظَرْفْ
کشی	کُشِی
افزائیوں	افزائیوں
غرضیاں	غرضیاں
دانوں	دَانوْںْ
اندیشی	اَنْدیشِی
رانیوں	رَانِیوْںْ
برداری	بَرْدَارِی
گھروں	گھروں
آموز	آَموزْ
گردیاں	گردیاں
کشائیاں	کشائیاں
پن	پِنْ
گساری	گساری
خوری	خورِی
آوری	آوری
پرستیوں	پرستیوں
چی	چِی
ستان	ستان
گردیوں	گردیوں
آرائیاں	آرائیاں
سگالیاں	سگالیاں
نگاریاں	نگاریاں
خانے	خَانےْ
نماؤں	نِمَاؤُںْ
دادیں	دَادیْں
دہانی	دہانی
دان	دَانْ
دانیاں	دَانِیَاںْ
بازیاں	بازیاں
مندوں	مندوں
اندوزوں	اندوزوں
فگاروں	فِگَاروْںْ
انداز	اَنْدَازْ
یت	یت
گیری	گَیرِی
بردار	بُرْدَارْ
کش	کَشْ
بازیوں	بازیوں
دوست	دوْسْتْ
یان	یان
پروری	پَرْوَرِی
آفرینیاں	آَفْرِینِیَاںْ
اندام	اَنْدَامْ
ہان	ہَانْ
مزاجی	مِزَاجِی
اندوز	اندوز
ناموں	نَاموْںْ
نگاروں	نِگَاروْںْ
گوئی	گوئی
سرائیوں	سَرَائِیوںْ
طرازوں	طرازوں
فشانیوں	فشانیوں
لی	لِی
افشاں	اَفْشَاںْ
نوازیوں	نوازیوں
شناسی	شَنَاسِی
دہانیاں	دہانیاں
واری	وَارِی
آلودہ	آَلُودَہْ
زاد	زَادْ
خانوں	خَانوْںْ
فہمی	فہۡمی
سگالیوں	سگالیوں
نگاریوں	نگاریوں
شدگان	شُدگَانْ
طرازی	طَرَازِی
بندی	بَنْدِی
باف	بَافْ
خانہ	خَانَہْ
کارانہ	کارانہ
گردانی	گَرْدَانِی
انگیزیوں	انگیزیوں
یاب	یَابْ
شناس	شَنَاسْ
گان	گان
فل	فُلْ
آفریں	آَفْرِیںْ
سوز	سوزْ
ورانہ	ورانہ
دستوں	دَسْتوْںْ
ورزیاں	ورزیاں
آمیزیوں	آمیزیوں
یچوں	یچوں
تی	تی
ہڈ	ہُڈْ
بدوش	بَدوْشْ
کن	کِنْ
کاروں	کَاروںْ
گیں	گِیںْ
ور	وَرْ
یلا	یلا
سنج	سَنْجْ
نوازیاں	نوازیاں
سرائی	سَرَائِی
ایبل	ایبَلْ
داری	دَارِی
شکنی	شکنی
مزاجیوں	مزاجیوں
غرضی	غَرَضِی
اندیشیوں	اندیشیوں
تراشیوں	تراشیوں
زادوں	زادوں
گردی	گَردِی
کنندہ	کُنِنْدَہْ
وار	وَارْ
وانا	وَانَا
دہانیوں	دہانیوں
آزار	آَزَارْ
خوروں	خَوروں
گر	گُرْ
دل	دَلْ
